ID partida;Nombre cliente;Mensaje del Chat;Fecha y Hora
3;Gast 1;Guten Tag Camarero 2;2014-05-20 17:27:17
3;Gast 1;Vielen Dank Camarero 2;2014-05-20 17:29:19
3;Gast 3;Vielen Dank Camarero 1;2014-05-20 17:29:36
3;Gast 5;Guten Tag Camarero 2;2014-05-20 17:29:49
