ID partida;Nombre camarero;Posicion X;Posicion Y;Posicion Z;Rotacion;Fecha y hora
3;Camarero 2;56.7006;41.4238;22.1414;217.811;2014-05-20 17:26:48
3;Camarero 1;52.3914;29.5963;22.0721;11.5638;2014-05-20 17:26:48
3;Camarero 2;54.9888;38.423;22.1528;112.359;2014-05-20 17:26:53
3;Camarero 1;47.2564;40.0227;22.0641;18.6086;2014-05-20 17:26:53
